date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:48:45	38787/38787	---M-Z	200	added ('OK')	text/html	etag:%2220414cf-9783-582b3e6c54c80-gzip%22	https://thememakker.com/templates/swift/hospital/media-object.html	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/media-object.html	(from https://thememakker.com/templates/swift/hospital/)
22:48:46	39771/39771	---M-Z	200	added ('OK')	text/html	etag:%2220414d0-9b5b-582b3e6c54c80-gzip%22	https://thememakker.com/templates/swift/hospital/modals.html	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/modals.html	(from https://thememakker.com/templates/swift/hospital/)
22:48:47	48364/48364	---M-Z	200	added ('OK')	text/html	etag:%2220414d1-bcec-582b3e7e73740-gzip%22	https://thememakker.com/templates/swift/hospital/notifications.html	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/notifications.html	(from https://thememakker.com/templates/swift/hospital/)
22:48:48	41354/41354	---M-Z	200	added ('OK')	text/html	etag:%2220414d4-a18a-582b3e6b60a40-gzip%22	https://thememakker.com/templates/swift/hospital/pagination.html	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/pagination.html	(from https://thememakker.com/templates/swift/hospital/)
22:48:49	45492/45492	---M-Z	200	added ('OK')	text/html	etag:%2220414d9-b1b4-582b3e69785c0-gzip%22	https://thememakker.com/templates/swift/hospital/preloaders.html	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/preloaders.html	(from https://thememakker.com/templates/swift/hospital/)
22:48:50	38089/38089	---M-Z	200	added ('OK')	text/html	etag:%2220414db-94c9-582b3e6884380-gzip%22	https://thememakker.com/templates/swift/hospital/progressbars.html	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/progressbars.html	(from https://thememakker.com/templates/swift/hospital/)
22:48:51	32691/32691	---M-Z	200	added ('OK')	text/html	etag:%2220414dc-7fb3-582b3e6884380-gzip%22	https://thememakker.com/templates/swift/hospital/range-sliders.html	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/range-sliders.html	(from https://thememakker.com/templates/swift/hospital/)
22:48:52	41900/41900	---M-Z	200	added ('OK')	text/html	etag:%2220414e0-a3ac-582b3e669bf00-gzip%22	https://thememakker.com/templates/swift/hospital/sortable-nestable.html	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/sortable-nestable.html	(from https://thememakker.com/templates/swift/hospital/)
22:48:53	44745/44745	---M-Z	200	added ('OK')	text/html	etag:%2220414e1-aec9-582b3e7b97080-gzip%22	https://thememakker.com/templates/swift/hospital/tabs.html	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/tabs.html	(from https://thememakker.com/templates/swift/hospital/)
22:48:54	43171/43171	---M-Z	200	added ('OK')	text/html	etag:%2220414e3-a8a3-582b3e65a7cc0-gzip%22	https://thememakker.com/templates/swift/hospital/waves.html	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/waves.html	(from https://thememakker.com/templates/swift/hospital/)
22:48:56	165913/165913	---M-Z	200	added ('OK')	text/javascript	etag:%222061d01-28819-59afa22ecd080-gzip%22	https://thememakker.com/templates/swift/hospital/assets/bundles/libscripts.bundle.js	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/assets/bundles/libscripts.bundle.js	(from https://thememakker.com/templates/swift/hospital/)
22:48:56	11092/11092	---M-Z	200	added ('OK')	text/javascript	etag:%222061d05-2b54-59afa22dd8e40-gzip%22	https://thememakker.com/templates/swift/hospital/assets/bundles/vendorscripts.bundle.js	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/assets/bundles/vendorscripts.bundle.js	(from https://thememakker.com/templates/swift/hospital/)
22:48:58	186040/186040	---M-Z	200	added ('OK')	text/javascript	etag:%222061cfc-2d6b8-59afa22ecd080-gzip%22	https://thememakker.com/templates/swift/hospital/assets/bundles/chartscripts.bundle.js	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/assets/bundles/chartscripts.bundle.js	(from https://thememakker.com/templates/swift/hospital/)
22:48:58	42734/42734	---M-Z	200	added ('OK')	text/javascript	etag:%222061d04-a6ee-59afa22dd8e40-gzip%22	https://thememakker.com/templates/swift/hospital/assets/bundles/sparklinescripts.bundle.js	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/assets/bundles/sparklinescripts.bundle.js	(from https://thememakker.com/templates/swift/hospital/)
22:48:59	7845/7845	---M-Z	200	added ('OK')	text/javascript	etag:%222061d02-1ea5-59afa22dd8e40-gzip%22	https://thememakker.com/templates/swift/hospital/assets/bundles/mainscripts.bundle.js	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/assets/bundles/mainscripts.bundle.js	(from https://thememakker.com/templates/swift/hospital/)
22:49:00	3847/3847	---M-Z	200	added ('OK')	text/javascript	etag:%2221422a8-f07-582b3e964af80-gzip%22	https://thememakker.com/templates/swift/hospital/assets/js/pages/index.js	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/assets/js/pages/index.js	(from https://thememakker.com/templates/swift/hospital/)
22:49:01	3501/3501	---M-Z	200	added ('OK')	text/javascript	etag:%2221a2e22-dad-582b3ea0c8840-gzip%22	https://thememakker.com/templates/swift/hospital/assets/js/pages/charts/sparkline.min.js	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/assets/js/pages/charts/sparkline.min.js	(from https://thememakker.com/templates/swift/hospital/)
22:49:03	51/51	---MCZ	200	added ('OK')	text/plain	date:Sat,%2013%20Apr%202024%2017:19:27%20GMT	https://fonts.googleapis.com/robots.txt		(from https://thememakker.com/templates/swift/hospital/)
22:49:03	11632/11632	---M-Z	200	added ('OK')	text/css	etag:%2224e25c7-2d70-541276379a600-gzip%22	https://thememakker.com/templates/swift/hospital/assets/plugins/fullcalendar/fullcalendar.min.css	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/assets/plugins/fullcalendar/fullcalendar.min.css	(from https://thememakker.com/templates/swift/hospital/doctor-schedule.html)
22:49:04	159582/159582	---M-Z	200	added ('OK')	text/javascript	etag:%222061cff-26f5e-59afa22ecd080-gzip%22	https://thememakker.com/templates/swift/hospital/assets/bundles/fullcalendarscripts.bundle.js	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/assets/bundles/fullcalendarscripts.bundle.js	(from https://thememakker.com/templates/swift/hospital/doctor-schedule.html)
22:49:05	6380/6380	---M-Z	200	added ('OK')	text/javascript	etag:%22216215a-18ec-582b3e973f1c0-gzip%22	https://thememakker.com/templates/swift/hospital/assets/js/pages/calendar/calendar.js	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/assets/js/pages/calendar/calendar.js	(from https://thememakker.com/templates/swift/hospital/doctor-schedule.html)
22:49:07	750/750	---M--	200	added ('OK')	image/png	date:Sat,%2013%20Apr%202024%2017:19:32%20GMT	http://via.placeholder.com/130x130	/home/raushan/websites/doctor%20admin/via.placeholder.com/130x130.png	(from https://thememakker.com/templates/swift/hospital/patients.html)
22:49:07	5034/5034	---M-Z	200	added ('OK')	text/css	etag:%222582b0d-13aa-55db7551e4a00-gzip%22	https://thememakker.com/templates/swift/hospital/assets/plugins/jquery-datatable/dataTables.bootstrap4.min.css	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/assets/plugins/jquery-datatable/dataTables.bootstrap4.min.css	(from https://thememakker.com/templates/swift/hospital/payments.html)
22:49:08	83356/83356	---M-Z	200	added ('OK')	text/javascript	etag:%222061cfd-1459c-59afa22dd8e40-gzip%22	https://thememakker.com/templates/swift/hospital/assets/bundles/datatablescripts.bundle.js	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/assets/bundles/datatablescripts.bundle.js	(from https://thememakker.com/templates/swift/hospital/payments.html)
22:49:09	2670/2670	---M-Z	200	added ('OK')	text/javascript	etag:%2220e2ea0-a6e-582b3e936e8c0-gzip%22	https://thememakker.com/templates/swift/hospital/assets/js/morphing.js	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/assets/js/morphing.js	(from https://thememakker.com/templates/swift/hospital/payments.html)
22:49:10	230/230	---M-Z	200	added ('OK')	text/javascript	etag:%222282bec-e6-582b3eb2e7300-gzip%22	https://thememakker.com/templates/swift/hospital/assets/js/pages/tables/jquery-datatable.js	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/assets/js/pages/tables/jquery-datatable.js	(from https://thememakker.com/templates/swift/hospital/payments.html)
22:49:11	29001/29001	---M-Z	200	added ('OK')	text/html	etag:%2220414cc-7149-582b3e78ba9c0-gzip%22	https://thememakker.com/templates/swift/hospital/mail-compose.html	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/mail-compose.html	(from https://thememakker.com/templates/swift/hospital/mail-inbox.html)
22:49:12	29216/29216	---M-Z	200	added ('OK')	text/html	etag:%2220414ce-7220-582b3e77c6780-gzip%22	https://thememakker.com/templates/swift/hospital/mail-single.html	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/mail-single.html	(from https://thememakker.com/templates/swift/hospital/mail-inbox.html)
22:49:13	4805/4805	---M--	200	added ('OK')	image/png	date:Sat,%2013%20Apr%202024%2017:19:38%20GMT	http://via.placeholder.com/1000x400	/home/raushan/websites/doctor%20admin/via.placeholder.com/1000x400.png	(from https://thememakker.com/templates/swift/hospital/profile.html)
22:49:14	3051/3051	---M-Z	200	added ('OK')	text/css	etag:%22292236f-beb-5414a2eac9180-gzip%22	https://thememakker.com/templates/swift/hospital/assets/plugins/bootstrap-material-datetimepicker/css/bootstrap-material-datetimepicker.css	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/assets/plugins/bootstrap-material-datetimepicker/css/bootstrap-material-datetimepicker.css	(from https://thememakker.com/templates/swift/hospital/book-appointment.html)
22:49:15	14647/14647	---M-Z	200	added ('OK')	text/css	etag:%222880a8f-3937-5414a2eac9180-gzip%22	https://thememakker.com/templates/swift/hospital/assets/plugins/waitme/waitMe.css	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/assets/plugins/waitme/waitMe.css	(from https://thememakker.com/templates/swift/hospital/book-appointment.html)
22:49:16	7096/7096	---M-Z	200	added ('OK')	text/css	etag:%222982c00-1bb8-5414a2eac9180-gzip%22	https://thememakker.com/templates/swift/hospital/assets/plugins/bootstrap-select/css/bootstrap-select.css	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/assets/plugins/bootstrap-select/css/bootstrap-select.css	(from https://thememakker.com/templates/swift/hospital/book-appointment.html)
22:49:17	6940/6940	---M-Z	200	added ('OK')	text/javascript	etag:%222322492-1b1c-5414a2eac9180-gzip%22	https://thememakker.com/templates/swift/hospital/assets/plugins/autosize/autosize.js	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/assets/plugins/autosize/autosize.js	(from https://thememakker.com/templates/swift/hospital/book-appointment.html)
22:49:18	139009/139009	---M-Z	200	added ('OK')	text/javascript	etag:%2227409b0-21f01-5414a2eac9180-gzip%22	https://thememakker.com/templates/swift/hospital/assets/plugins/momentjs/moment.js	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/assets/plugins/momentjs/moment.js	(from https://thememakker.com/templates/swift/hospital/book-appointment.html)
22:49:19	50239/50239	---M-Z	200	added ('OK')	text/javascript	etag:%2229626e6-c43f-5414a2eac9180-gzip%22	https://thememakker.com/templates/swift/hospital/assets/plugins/bootstrap-material-datetimepicker/js/bootstrap-material-datetimepicker.js	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/assets/plugins/bootstrap-material-datetimepicker/js/bootstrap-material-datetimepicker.js	(from https://thememakker.com/templates/swift/hospital/book-appointment.html)
22:49:20	569/569	---M-Z	200	added ('OK')	text/javascript	etag:%22220265c-239-582b3ea869a40-gzip%22	https://thememakker.com/templates/swift/hospital/assets/js/pages/forms/basic-form-elements.js	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/assets/js/pages/forms/basic-form-elements.js	(from https://thememakker.com/templates/swift/hospital/book-appointment.html)
